Diagonisis Code,Disease,Description,Common Symptomps,Medicine,Doctor,Doctor's Number,Doctor's Address
11410-017,Fabaceae,"Other fracture of shaft of radius, unspecified arm, initial encounter for closed fracture",Glycosuria,Proactiv Solution Oil Free Moisture SPF 15 Moisturizer,Mendy MacAskie,(635) 4986437,75 Old Gate Plaza
67405-575,Fabaceae,"Displaced oblique fracture of shaft of right ulna, subsequent encounter for closed fracture with malunion",Rt proc-wrong side/part,Hydroxyzine Hydrochloride,Laurens Sargant,(142) 9001882,12193 Arizona Street
10191-1603,Cyperaceae,"Contusion of right hip, initial encounter",1st deg burn abdomn wall,SYMPHYTUM OFFICINALE,Henri Shakle,(879) 9028739,3998 Toban Way
0713-0164,Verrucariaceae,"Displaced comminuted supracondylar fracture without intercondylar fracture of left humerus, subsequent encounter for fracture with nonunion",Foreign bdy gu tract NOS,ACEPHEN,Taffy Durek,(495) 8349270,455 Buhler Road
61919-464,Ranunculaceae,Slipped upper femoral epiphysis (nontraumatic),TB organ NEC-exam unkn,ONDANSETRON,Andrea Wightman,(752) 8991347,40671 Burning Wood Junction
0472-0882,Fabaceae,Tuberculous keratitis,2nd deg burn ankle,Acetasol HC,Maxie Sallter,(886) 6271486,37 Clyde Gallagher Circle
43269-843,Polygonaceae,Other specified deforming dorsopathies,Failure in dosage NEC,Golden Pear Antibacterial Foaming Hand Wash,Ofelia Salaman,(728) 4895080,17 Dovetail Pass
0186-0510,Rhamnaceae,"Displaced fracture of medial condyle of left femur, subsequent encounter for closed fracture with delayed healing",Cryptosporidiosis,VIMOVO,Roxanna Radeliffe,(370) 9566307,405 Old Shore Pass
0069-4541,Oleaceae,"Complete traumatic amputation of left forearm, level unspecified, sequela",Cooking & baking,DEXAMETHASONE SODIUM PHOSPHATE,Lotte Borres,(945) 2241831,71346 Mosinee Park
21749-515,Asteraceae,"Other physeal fracture of upper end of radius, left arm, subsequent encounter for fracture with nonunion",Paranoid state NOS,PURELL Instant Hand Sanitizer Foam (ETHYL ALCOHOL),Farlay Payler,(881) 6580561,08923 Ridgeway Center
46122-182,Saxifragaceae,"Pedal cycle driver injured in collision with other motor vehicles in traffic accident, subsequent encounter",Adjust neuropacemaker,Aspirin,Harlene McGiff,(709) 2954455,2 Katie Drive
49738-504,Hedwigiaceae,"Lesion of femoral nerve, left lower limb",Polyart juv rheum arthr,Smart Sense Allergy Relief,Granger Fairs,(381) 9702165,474 Red Cloud Pass
63736-023,Caryophyllaceae,"Poisoning by unspecified narcotics, undetermined, sequela",Primary TB NOS-oth test,Monistat 7 Combination Pack,Sandor Wilhelmy,(860) 8927891,5 Marquette Alley
42023-108,Dryopteridaceae,"Laceration without foreign body of left ear, sequela",Obstacle course,Coly-Mycin S,Carissa Polon,(428) 6150340,13537 Kinsman Alley
13668-133,Poaceae,"Unstable burst fracture of fourth thoracic vertebra, sequela",Sec mal neo peritoneum,Felodipine,Holly-anne Sidebottom,(481) 7379439,357 Mosinee Trail
66336-600,Lemnaceae,"Ultralight, microlight or powered-glider fire injuring occupant",Arteritis NOS,LEVOXYL,Mariele Birmingham,(626) 1785457,611 Talmadge Trail
42903-002,Poaceae,"Salter-Harris Type II physeal fracture of upper end of right fibula, subsequent encounter for fracture with routine healing",Breech extr NOS-deliver,LivRelief,Kerwinn Burras,(693) 8870666,673 Eagle Crest Avenue
62756-556,Hydrophyllaceae,"Abscess of tendon sheath, shoulder",Erythematous cond NEC,Olanzapine,Collette Bertwistle,(637) 8207524,85 3rd Hill
48951-8143,Dryopteridaceae,"Other fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with malunion",War injury:biol warfare,Rhus Tox. e fol. 4,Imogen Pyson,(419) 8549761,9 Crescent Oaks Park
52125-546,Iridaceae,"Laceration with foreign body of left back wall of thorax without penetration into thoracic cavity, initial encounter",Pap smr cytol evid malig,Ceftriaxone Sodium,Luciano Sharvell,(506) 4711072,0 Colorado Hill
52686-298,Hydrophyllaceae,Diffuse traumatic brain injury with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving,Nonvenomous snake bite,SHISEIDO SUN PROTECTION COMPACT FOUNDATION (REFILL),Joaquin Pyrton,(512) 2975757,40517 Commercial Plaza
43749-230,Onagraceae,Other specified malignant neoplasm of skin of lip,Post subcap senile catar,Natures Choice Vitamins A and D,Fifi Carlin,(687) 7704044,6 Elgar Plaza
58443-0027,Euphorbiaceae,"Fall into swimming pool striking water surface causing other injury, subsequent encounter",Ocl spcf art w infrct,Australian Gold,Issiah Hansana,(733) 1527199,326 Grasskamp Plaza
54569-2523,Scrophulariaceae,Puncture wound with foreign body of other finger with damage to nail,One eye-sev/oth-prfnd,Acetaminophen And Codeine,Jason Tight,(902) 7473519,661 Lakeland Hill
66336-030,Poaceae,"Puncture wound with foreign body of right elbow, subsequent encounter","Lacrosse,field hockey",Ibuprofen,Krista Heinsius,(408) 8241927,414 Stone Corner Avenue
64942-1118,Asteraceae,Fracture of other and unspecified metacarpal bone,Adv eff alkalizing agent,Degree Nature Effects Honeysuckle and Tea Tree Oil,Merill Vecard,(581) 9916339,03 Brentwood Way
36987-1981,Agavaceae,"Nondisplaced avulsion fracture of right ilium, initial encounter for closed fracture",Mal neo ethmoidal sinus,Fusarium compactum,Gearalt Buckby,(825) 5859728,68652 Clarendon Lane
17089-416,Asteraceae,Pneumonia due to Methicillin susceptible Staphylococcus aureus,General medical exam NOS,GUNA-MATRIX,Drona Clinton,(528) 2878048,97415 Mallard Hill
36000-282,Violaceae,"Other slipping, tripping and stumbling without falling, initial encounter",Paran schizo-chr/exacerb,FUROSEMIDE,Winny Alexandre,(876) 5290059,5973 Warrior Place
51138-039,Goodeniaceae,Endometriosis,Screen-bacterial dis NEC,Ibuprofen,Estel Kain,(751) 4755523,344 Mandrake Parkway
35356-622,Cyperaceae,"Disorder of the skin and subcutaneous tissue, unspecified",Early skin yaws NEC,PANTOPRAZOLE SODIUM,Katharyn Dennett,(327) 6676092,7548 Walton Parkway
55910-165,Theaceae,Postprocedural hemorrhage of ear and mastoid process following other procedure,Allerg arthritis-ankle,Rexall All Day Pain Relief,Jonathan Benford,(612) 4068020,2 Bartillon Circle
41163-590,Gentianaceae,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma],Microcheilia,equaline infants pain and fever,Nickolaus Izachik,(753) 5297044,20 Stephen Hill
50114-3250,Asteraceae,"Nondisplaced subtrochanteric fracture of left femur, initial encounter for closed fracture",Thyrotox NOS no crisis,Sinusin,Ricard McAndie,(547) 9017834,419 Sunbrook Center
55154-2396,Bixaceae,Central corneal opacity,Congenital hiatus hernia,GENGRAF,Hermina Joiris,(547) 1179806,3515 Forest Dale Park
0113-0467,Polygonaceae,"Displaced spiral fracture of shaft of radius, right arm, initial encounter for open fracture type IIIA, IIIB, or IIIC",Cl skl w oth fx w/o coma,good sense aspirin,Andris Carlesi,(197) 6403694,4 Nevada Plaza
49348-333,Commelinaceae,Other disorders of bone development and growth,Hypertens NOS-antepartum,sunmark,Lowell Hacquard,(383) 1996153,5644 Chinook Terrace
0603-1785,Asteraceae,Resistance to antimicrobial drugs,Opn skul fx NEC-brf coma,Tri-Vit with Fluoride Drops,Thaddeus Cardew,(657) 8562478,53 Welch Way
52183-365,Poaceae,"Jumping or diving into unspecified water causing drowning and submersion, subsequent encounter",Cns TB NEC-histo dx,PediaCare Childrens Plus Flu,Sonja Sowrah,(608) 3954786,8 8th Junction
65643-336,Acanthaceae,"Poisoning by rifampicins, undetermined, subsequent encounter",Ben neo bones ankle/foot,Bellagio Childrens Sunscreen SPF 45,Bianca Parradice,(896) 4317573,54 Oriole Road
49671-001,Scrophulariaceae,"Activity, other involving cooking and grilling",Group b streptoc carrier,Wellness Products J-FLEX,Lydia MacDonell,(118) 4166708,7716 Thompson Plaza
57344-001,Orchidaceae,"Laceration of peroneal artery, unspecified leg, subsequent encounter",Esophageal stricture,Acetaminophen,Pennie Trengrove,(771) 5113245,9 Bluejay Parkway
65954-049,Aquifoliaceae,"Acute suppurative otitis media without spontaneous rupture of ear drum, bilateral",2nd deg burn palm,COLGATE SENSITIVE SMARTFOAM WITH WHITENING,Celinda Kristoffersson,(380) 5614198,1476 Mesta Road
55714-4587,Dryopteridaceae,Pedestrian on skateboard injured in collision with railway train or railway vehicle in nontraffic accident,Attn removal of sutures,Thyroid Assist,Leia Schimek,(642) 8186342,0034 Merchant Avenue
69034-001,Bryaceae,"Displaced fracture of base of fourth metacarpal bone, right hand",Epilepsy NOS w intr epil,kiwi crate Liquid Hand,Pablo McMenamie,(833) 8139672,11 Fisk Road
49817-1998,Poaceae,"Other specified disorders of cornea, left eye",Procreative managemt NEC,Fresh Umbrian Clay Freshface Foundation SPF 20 Cloudy Bay,Tamar Brockelsby,(659) 1701051,221 Myrtle Center
0268-6640,Poaceae,"Weeks of gestation of pregnancy, weeks 30-39",Vis cortx dis w neoplasm,MORUS RUBRA POLLEN,Stewart MacGlory,(394) 8046062,8 Brentwood Center
62864-902,Poaceae,Barton's fracture,Injury axillary nerve,ARRID Extra Dry,Lydie Wellard,(187) 2956207,36 Mandrake Street
63717-915,Fabaceae,"Displaced fracture of fifth metatarsal bone, unspecified foot, subsequent encounter for fracture with nonunion",Paralytic lagophthalmos,Veripred 20,Wendell Podd,(162) 3579072,6703 Lindbergh Drive
59115-161,Verrucariaceae,"Other acute osteomyelitis, unspecified ankle and foot",Mal neo skin low lmb NEC,CORTISONE ACETATE,Humfrey Duckit,(157) 7989147,54723 Division Parkway
0409-1559,Asteraceae,"Small cell B-cell lymphoma, intra-abdominal lymph nodes",Ac osteomyelitis-up/arm,Marcaine,Derk Whilde,(763) 4703733,8 Spaight Court
63739-800,Asteraceae,"Unspecified open wound of left breast, initial encounter",Central hearing loss,Diclofenac Sodium,Wood McFarlan,(941) 7205522,84864 Maple Wood Place
58232-0606,Rosaceae,"Other fracture of first metacarpal bone, right hand, initial encounter for closed fracture",C5-c7 fx-op/cord inj NOS,Ambi Even and Clear Daily Moisturizer,Francesca Earl,(260) 3763876,9015 Eggendart Lane
64269-9903,Verrucariaceae,"Salter-Harris Type III physeal fracture of lower end of unspecified tibia, subsequent encounter for fracture with delayed healing",Cocaine depend-remiss,Scarguard MD,Fannie Gallehawk,(255) 2933488,1863 Meadow Valley Crossing
63739-325,Scrophulariaceae,"Unspecified occupant of military vehicle injured in nontraffic accident, subsequent encounter",Poisoning-parathyroids,FAMOTIDINE,Ewell Fogg,(703) 6521915,82027 Merchant Way
50458-585,Cyperaceae,"Striking against wall of swimming pool causing other injury, initial encounter",Bipol I cur dep rem NOS,CONCERTA,Freddie Shillitoe,(663) 4822412,699 Evergreen Lane
59011-751,Urticaceae,Failed trial of labor,Exfl d/t eryth 60-69 bdy,Butrans,Manfred Skilling,(855) 1146549,99310 Green Ridge Road
21695-063,Fabaceae,Generalized abdominal rigidity,Hodgkins granulom abdom,Geodon,Cookie Scown,(687) 6125999,387 Erie Drive
0173-0776,Ericaceae,Injury of radial artery at wrist and hand level,"Dialysis encounter, NEC",LAMICTAL,Theodoric Piddletown,(318) 1689972,067 Kenwood Center
42508-157,Acanthaceae,"Frostbite with tissue necrosis of unspecified wrist, sequela",Acc poison-lead paints,Perfecting Liquid Foundation Honey Beige,Collete Melchior,(507) 6145298,54 Cordelia Road
60258-530,Styracaceae,"Burn of first degree of left toe(s) (nail), sequela",Benign neo epididymis,Dex-Tuss,Lesley Breddy,(822) 1472941,4 Sutteridge Hill
0143-9725,Myricaceae,"Strain of extensor muscle, fascia and tendon of right little finger at wrist and hand level, initial encounter",Alastrim,Progesterone,Boyd Barrat,(146) 5188097,583 Kedzie Point
49993-860,Asteraceae,Other specified disorders of veins,Crush inj scapul region,Glo Scinece,Zita Turbefield,(270) 2127343,08 Fordem Crossing
0025-1710,Arecaceae,"Cicatricial alopecia, unspecified",Duane's syndrome,Inspra,Kailey Mundow,(986) 5909715,8669 Summerview Hill
68001-195,Fabaceae,Other paralytic strabismus,Bone infect NOS-up/arm,Escitalopram,Tarra Farlamb,(374) 2733436,7 Killdeer Pass
36987-1411,Poaceae,"Fracture of superior rim of right pubis, initial encounter for closed fracture",Pois-erythromyc/macrolid,Broccoli,Sioux Antrack,(149) 5619420,0 Ridgeview Plaza
52125-606,Scrophulariaceae,Jumping or diving into swimming pool striking bottom causing other injury,Symbolic dysfunction NOS,Finasteride,Kinny Kalisch,(637) 6380362,36281 Maple Pass
0179-0149,Scrophulariaceae,"Nondisplaced segmental fracture of shaft of right femur, subsequent encounter for open fracture type I or II with routine healing",Hepatomegaly,Capecitabine,Auroora Cartman,(853) 3657780,658 Darwin Parkway
63304-623,Dryopteridaceae,"Breakdown (mechanical) of unspecified vascular grafts, subsequent encounter",Transient insomnia,Atenolol,Gaile Pittet,(937) 1550048,8782 Thierer Road
49349-976,Bryaceae,Subluxation of metatarsophalangeal joint of left great toe,Disorder of penis NOS,Quetiapine fumarate,Leonelle Upjohn,(203) 8700701,966 Londonderry Way
68001-223,Fabaceae,Sprain of jaw,Opn brain inj-brief coma,Isosorbide Dinitrate,Smith Olivari,(651) 3174556,11 Dennis Pass
59779-111,Poaceae,"Unspecified injury of left ankle, subsequent encounter",Undet circ-fall site NOS,Oral Saline Laxative,Cecil Boddie,(750) 8852240,1 Riverside Junction
58668-2531,Brassicaceae,Retained (nonmagnetic) (old) foreign body in anterior chamber,Neuropathy in diabetes,Clarins Rouge Hydra Nude - 03 Nude Beige,Tucker Shakelade,(352) 6821861,98 Mallory Court
50580-269,Urticaceae,"Epidural hemorrhage without loss of consciousness, initial encounter",Dermatophytosis site NEC,TYLENOL COLD,Loise Sibun,(295) 7922164,4493 Marcy Parkway
54868-6020,Brassicaceae,"Palindromic rheumatism, unspecified site",Breast dis NEC-antepart,Omnaris,Dewitt Shoreson,(970) 5097919,56467 Farmco Park
51672-4110,Cyperaceae,"Villonodular synovitis (pigmented), right hand",Mv-train coll-driver,Ondansetron Hydrochloride,Constancy Theurer,(807) 8924143,0 Victoria Terrace
41520-960,Thuidiaceae,Other specified disturbances of cerebral status of newborn,Pyogen arthritis-shlder,care one anti diarrheal,Melanie Toller,(938) 3016717,0227 Village Green Parkway
61958-1301,Bartramiaceae,"Displaced fracture of left radial styloid process, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",Pathol dislocat-unspec,Vitekta,Ely Demageard,(729) 4614889,549 Parkside Center
99207-464,Hypnaceae,"Blister (nonthermal) of abdominal wall, initial encounter",Inj sympath nerve NEC,Solodyn,Godiva Kinzel,(909) 8920232,591 Sutherland Hill
65862-053,Hypnaceae,Salter-Harris Type III physeal fracture of upper end of unspecified tibia,Snow veh acc-pers NOS,Simvastatin,Sandy Goodlake,(258) 1022875,81147 Shasta Lane
10147-0901,Pteridaceae,"Puncture wound without foreign body of scalp, initial encounter",Hernia NEC,TRAMADOL HYDROCHLORIDE,Alfy Fenne,(682) 3760483,708 Grim Court
53389-642,Asteraceae,"Displaced fracture of pisiform, left wrist",Deficiency anemia NOS,TOY CLEANER,Haley Hrycek,(398) 3006426,98455 Annamark Trail
0378-4727,Solanaceae,"Strain of extensor muscle, fascia and tendon of left thumb at wrist and hand level, subsequent encounter",Bipol I single manc-mild,Risedronate Sodium,Glenine Spooner,(689) 7858757,72 Boyd Center
42507-161,Lycopodiaceae,"Unspecified fracture of first metacarpal bone, right hand, subsequent encounter for fracture with nonunion",Monoc esotrop w x/y pat,Pain and Fever,Kimberly Arkil,(394) 6788634,1 Forest Run Crossing
52124-1167,Asteraceae,Displacement of indwelling urethral catheter,Mlt opn wnd shldr w tend,GFA First Aid,Far Petherick,(947) 3915794,4460 Prentice Drive
0093-0074,Convolvulaceae,"Malignant neoplasm of pharynx, unspecified",Liver/bil trct disr-ante,Zolpidem Tartrate,Hirsch Ida,(244) 8935336,3426 Texas Trail
49349-347,Rosaceae,Nondisplaced fracture of olecranon process without intraarticular extension of left ulna,"Amp below elb, unil-comp",Prochlorperazine Maleate,Elonore Gilmore,(905) 6298049,9 Lillian Drive
59779-819,Caryophyllaceae,"Nondisplaced segmental fracture of shaft of ulna, unspecified arm, subsequent encounter for closed fracture with malunion",Ect preg NEC w/o int prg,Sensitive Tooth Paste,Ezequiel Arnefield,(182) 3221116,2541 Ryan Crossing
0591-3159,Aspleniaceae,Laceration without foreign body of right little finger with damage to nail,Cestode infection NOS,Ursodiol,Maximilian Lye,(147) 1083436,979 Warner Terrace
63187-152,Rosaceae,Adverse effect of other antipsychotics and neuroleptics,Dental examination,Lansoprazole,Wylie McAlees,(482) 2085736,32739 Bultman Center
52183-395,Marsileaceae,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, second trimester",Chronic lymphadenitis,PediaCare Childrens Cough and Congestion,Jade Gush,(878) 8252772,23 Anthes Pass
16590-187,Lecideaceae,"Superficial frostbite of right hand, subsequent encounter",Spondylolisthesis,PIROXICAM,Ann-marie Thalmann,(548) 1046958,07 Eastlawn Lane
43063-484,Passifloraceae,"Partial traumatic transphalangeal amputation of right index finger, sequela",Arthropod-borne dis NOS,Lisinopril,Charleen Gianotti,(292) 9918294,57 Manufacturers Street
0078-0512,Catoscopiaceae,Benign carcinoid tumors of other sites,Congenital lip fistula,Tegretol,Win Digges,(429) 9380639,0 Boyd Terrace
55711-066,Fabaceae,"Contusion of left eyelid and periocular area, initial encounter",Dyshormonogenic goiter,Sugar Free Refreshing Mint Fishermans Friend Menthol Cough Suppressant,Brunhilde Buckett,(575) 1713227,0764 Menomonie Lane
58980-625,Polygonaceae,"Displaced fracture of anterior column [iliopubic] of right acetabulum, subsequent encounter for fracture with routine healing",Polio osteopathy-ankle,X Viate,Ragnar Attac,(826) 9961558,6388 Grasskamp Hill
12634-779,Fabaceae,Cocaine dependence with unspecified cocaine-induced disorder,Scrn oth spcf chlmyd dis,SULFAMETHOXAZOLE and TRIMETHOPRIM,Rivkah Skerman,(224) 6704408,44 Talmadge Street
55154-6922,Trapeliaceae,"Nondisplaced fracture of medial phalanx of other finger, initial encounter for open fracture",Thoracic disc displacmnt,CRESTOR,Cindie McMenamin,(571) 3898608,4 Katie Road
21695-865,Poaceae,Laryngeal spasm,Breast abscess-postpart,Niaspan,Currey Heningam,(422) 2298327,003 Oxford Trail
42291-125,Rosaceae,Cicatricial lagophthalmos left lower eyelid,Dis plas protein met NOS,Amantadine HCl,Dane Portt,(636) 4529450,5576 Reinke Terrace
41250-504,Poaceae,"Unspecified trochanteric fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",Contraceptive mangmt NEC,meijer,Hayward Render,(949) 1322326,28055 Arapahoe Terrace
31190-500,Lamiaceae,"Jumping or diving into other water striking water surface causing drowning and submersion, sequela",Lacerat of cervix-unspec,SunScreen SPF30,Elvin Kemery,(581) 6023034,160 Duke Park
59400-001,Nyctaginaceae,"Stiffness of unspecified joint, not elsewhere classified",Organic hypersomnia NOS,Oxygen,Jory Gwyn,(800) 2659214,51092 Brown Drive
16590-215,Rosaceae,"Poisoning by iron and its compounds, accidental (unintentional), subsequent encounter",Leukoplakia of vagina,CEFUROXIME AXETIL,Linnea Danilyuk,(488) 9826571,164 David Lane
64380-744,Hypnaceae,"Atherosclerosis of native arteries of extremities with rest pain, other extremity",Benign second hypert NEC,Buspirone Hydrochloride,Lorens Thorwarth,(195) 3236659,955 Pine View Street
33261-408,Asteraceae,"Poisoning by therapeutic gases, intentional self-harm, sequela",Toxic eff carbon tetrach,Phentermine Hydrochloride,Dosi Teese,(618) 2524209,72128 Johnson Junction
58118-0921,Arthoniaceae,"Laceration of extensor muscle, fascia and tendon of left thumb at wrist and hand level, subsequent encounter",Branch cleft sinus/fistu,Cefuroxime Axetil,Falito Skittrell,(629) 3847069,325 Swallow Crossing
65862-203,Fabaceae,"Salter-Harris Type IV physeal fracture of right calcaneus, subsequent encounter for fracture with nonunion",Open wound scalp-compl,Losartan Potassium,Tess Harling,(912) 3399278,658 Oxford Alley
49349-281,Rubiaceae,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",Alt esotropia w v pattrn,Gabapentin,Garek Sandyford,(492) 6318024,6 Daystar Hill
67296-0528,Hypnaceae,"Other fracture of lower end of unspecified ulna, initial encounter for closed fracture",Tibialis tendinitis,Nitrofurantoin (monohydrate/macrocrystals),Jodie Howford,(860) 4105082,4 Almo Lane
60432-834,Anacardiaceae,"Migraine with aura, intractable, without status migrainosus",3rd deg burn ankle,Lindane,Karia Wilfling,(125) 9890837,01124 Coleman Way
0179-0045,Campanulaceae,"Other specified injury of anterior tibial artery, unspecified leg",Fx metacarpal shaft-clos,TEMAZEPAM,Drucie Le Blanc,(361) 5049899,41196 Meadow Vale Drive
59779-807,Cyperaceae,"Unspecified injury of extensor or abductor muscles, fascia and tendons of left thumb at forearm level",Hypersom w slp apnea NOS,CVS Triple Action Astringent,Joyann Swyne,(476) 5227241,2 5th Place
55133-010,Taxaceae,"Separation of muscle (nontraumatic), thigh",Louse-borne relaps fever,Snail Aqua EGF Sleep,Devlin Fonzo,(606) 9457824,90001 Butterfield Street
10867-001,Letrouitiaceae,Underdosing of other narcotics,Insomnia NOS,Oxygen,Juliane Shemelt,(147) 2368164,6 Dunning Park
49893-500,Malvaceae,"Traumatic rupture of left ear drum, subsequent encounter",Reiter arthritis-l/leg,Total Suncare Sunscreen SPF 70,Gwenora Beauchop,(624) 6374528,593 Hauk Junction
11523-7355,Ericaceae,"Fracture of one rib, unspecified side, subsequent encounter for fracture with nonunion",Superf inj shldr/arm NEC,Coppertone Wet and Clear Kids,Lyda Casino,(215) 5897926,07213 Bartillon Hill
61786-053,Asteraceae,"Toxic effect of herbicides and fungicides, intentional self-harm, initial encounter",Fail mod sedate dur proc,Quetiapine fumarate,Tibold Balcon,(255) 3495360,2 Melvin Trail
10454-710,Boraginaceae,"Nondisplaced fracture of medial phalanx of right ring finger, sequela",Venous compl NEC-antepar,Myobloc,Chandler Coleyshaw,(882) 4772506,67252 Holmberg Trail
10237-740,Chenopodiaceae,Encounter for follow-up examination after completed treatment for malignant neoplasm,TB esophagus-histo dx,Orajel,Averell Sanchez,(764) 1829693,896 Tennessee Terrace
48883-001,Poaceae,"Toxic effect of tin and its compounds, accidental (unintentional), subsequent encounter",Snow veh acc-driver,Oxygen,Kelci Cammoile,(626) 4600698,1 Gina Parkway
76170-101,Polygalaceae,"Displaced fracture of proximal phalanx of left little finger, subsequent encounter for fracture with routine healing",Length/adjust growth rod,Dentree,Issiah Wonham,(343) 9703942,674 Stoughton Way
42555-060,Graphidaceae,"Pedal cycle driver injured in collision with heavy transport vehicle or bus in traffic accident, subsequent encounter",Ben hy ht/kd st V w/o hf,Colgate Anticavity Toothpaste,Kirsti Semonin,(149) 1384175,62 Prentice Pass
10742-8902,Caprifoliaceae,Ice-skates accident,Pyeloureteritis cystica,Red Cross Oral Pain Relief,Vyky Kardos-Stowe,(220) 9219659,674 Menomonie Road
50580-547,Asteraceae,"Corrosion of second degree of unspecified ankle and foot, initial encounter",Eustachian salping NOS,SUDAFED PE Pressure Plus Pain,Jilly Backhouse,(109) 1642033,168 Killdeer Parkway
0093-6816,Dryopteridaceae,"Unspecified injury to sacral spinal cord, initial encounter",Nonsupp otitis media NOS,Budesonide,Meridith Bault,(916) 5786150,037 Dexter Avenue
63323-407,Orchidaceae,Cannabis abuse with psychotic disorder with hallucinations,Hypotony w eye dis NEC,Caffeine Citrate,Bennie Greenfield,(900) 2368170,660 Upham Junction
41163-271,Fabaceae,Exostosis of bilateral orbits,Nephrogen diabetes insip,Equaline Heartburn Relief,Auroora Lubbock,(701) 8631732,187 Thompson Place
0074-3064,Physciaceae,"Person on outside of three-wheeled motor vehicle injured in collision with railway train or railway vehicle in nontraffic accident, sequela",Secondary malig neo skin,Cardizem LA,Jdavie Diwell,(574) 4039184,761 Pleasure Pass
65923-077,Apiaceae,Other cervical disc degeneration at C6-C7 level,Symbolic dysfunction NEC,SHOPKO ORIGINAL NASAL,Billi Vezey,(209) 2333011,95617 Sommers Drive
76168-009,Solanaceae,Other superficial bite of left thigh,Atresia large intestine,Aspirin,Lindsay Barthorpe,(660) 2107913,6 Onsgard Court
49288-0807,Liliaceae,"Abrasion of unspecified eyelid and periocular area, subsequent encounter",Acc poisoning-mercury,Treatment Set TS340074,Felita Tippler,(896) 7550959,29020 Columbus Avenue
68084-424,Goodeniaceae,"Injury of digital nerve of left ring finger, sequela",Prader-willi syndrome,Oxandrolone,Alvan Bonnar,(356) 2536682,71161 Gale Street
49643-008,Opegraphaceae,Primary blast injury of unspecified part of small intestine,"AMI anterolateral,subseq",House Dust,Korry Aggis,(214) 5101813,15535 Veith Point
64578-0094,Campanulaceae,Salter-Harris Type II physeal fracture of phalanx of unspecified toe,Ca in situ prostate,Throat-Spray Tone,Marlyn Bamber,(926) 6298282,71055 Pankratz Street
59970-079,Micareaceae,Chronic nephritic syndrome with diffuse endocapillary proliferative glomerulonephritis,Disrpt trauma wound repr,Sleep Aid,Fanchon Le feuvre,(772) 7879398,13 Steensland Circle
0941-0433,Capparaceae,Contact with unspecified sharp object(s),Ab NOS w pelv damag-unsp,DIANEAL Low Calcium with Dextrose,Rodger Jeacop,(523) 5922610,0 Tony Center
0168-0264,Asteraceae,"Puncture wound without foreign body of right middle finger without damage to nail, initial encounter",Ulcerative ileocolitis,Alclometasone Dipropionate,Hayley Krinks,(612) 1239975,43002 Brentwood Alley
54868-4515,Arthoniaceae,"Sprain of other part of right wrist and hand, subsequent encounter",Opn brain lacer-mod coma,Pentoxifylline,Lorianna Murrhardt,(840) 5719305,1 Moulton Hill
36987-2116,Poaceae,Gonococcal sepsis,Deep 3rd burn trunk NEC,Stemphylium sarciniforms,Ronny Howse,(596) 5343810,8 Kedzie Road
76328-223,Psoraceae,"Other specified inflammatory spondylopathies, cervical region",Need prphyl vc varicella,EcoDent Ultimate Essential Mouthcare,Jacintha Poone,(730) 9129543,7 Lukken Road
58118-0303,Brassicaceae,Laceration with foreign body of left thumb with damage to nail,Defic cell immunity NOS,Nitrofurantoin Monohydrate/ Macrocrystalline,Sabine Webbe,(361) 3216615,9707 Crownhardt Avenue
43598-320,Asteraceae,Apraxia following other nontraumatic intracranial hemorrhage,Injury-site NOS,Amlodipine besylate and Atorvastatin calcium,Curtice Bonhill,(723) 5470159,21868 Debra Road
41520-476,Acanthaceae,Sprain of interphalangeal joint of left lesser toe(s),TB of spleen-exam unkn,CARE ONE,Alwin Cossons,(372) 9159501,53 Cody Park
30014-003,Campanulaceae,"Toxic effect of phosphorus and its compounds, undetermined, subsequent encounter",Screen for infec dis NOS,Monistat 7 Combination Pack,Karlotta Eakens,(167) 9070773,33 Havey Center
62257-576,Fabaceae,Loose body in ankle and toe joints,"BMI 28.0-28.9,adult",Foamy Mango,Cecilius Brandom,(984) 2491754,56340 Hooker Crossing
51060-004,Asteraceae,Unspecified occupant of heavy transport vehicle injured in collision with unspecified motor vehicles in traffic accident,Chr duoden ulc hem-obstr,ReCreate Foundation,Zachary Berford,(454) 4351257,8384 Eggendart Lane
0173-0842,Opegraphaceae,"Nondisplaced fracture of trapezoid [smaller multangular], right wrist, sequela",Mal neo pancreas tail,AVANDARYL,Donovan Fabri,(658) 2287151,6964 Dexter Street
36987-2398,Brassicaceae,"Peripheral T-cell lymphoma, not classified, intrapelvic lymph nodes",Hodg lymph-histio head,Salt Grass,Gail Mandeville,(901) 7013772,5623 Longview Point
51079-966,Brassicaceae,Occlusion and stenosis of other precerebral arteries,Avoidant personality dis,Famotidine,Sibylla Volks,(549) 5985811,366 Artisan Court
49884-764,Loasaceae,Contusion of unspecified part of pancreas,Allergic rhinitis NEC,Fentanyl,Robena Koppke,(657) 1750677,62 Dahle Alley
